품목 코드,품종코드,품목명,품종명,도매출하단위,도매출하단위 크기,소매출하단위,소매출하단위 크기,친환경농산물출하단위('20.4~),친환경농산물출하단위크기('20.4~),도매 등급,소매 등급,친환경 등급('20.4~)
111,01,쌀,20kg,kg,20,kg,20,,,04,"04,05",
111,02,쌀,백미,,,,,kg,4,,,"07,08"
111,03,쌀,현미,,,,,kg,2,,,"07,08"
111,05,쌀,20kg(햅쌀),kg,20,kg,20,,,04,"04,05",
111,06,쌀,오대벼,,,kg,10,,,,,
111,07,쌀,고시히카리,,,kg,10,,,,,
111,08,쌀,추청,,,kg,10,,,,,
111,09,쌀,삼광,,,kg,10,,,,,
111,10,쌀,10kg,,,kg,10,,,04,,
111,11,쌀,10kg(햅쌀),,,kg,10,,,04,,
112,01,찹쌀,일반계,kg,40,kg,1,kg,1,04,"04,05","07,08"
113,00,혼합곡,혼합곡,,,,,g,800,,,"07,08"
114,01,기장,기장,,,,,g,400,,,"07,08"
141,01,콩,흰 콩(국산),kg,40,g,500,g,500,"04,05","04,05","07,08"
141,02,콩,콩나물콩,kg,35,,,,,,"04,05",
141,03,콩,흰 콩(수입),kg,35,,,,,,05,
142,00,팥,붉은 팥(국산),kg,40,g,500,,,"04,05","04,05",
142,01,팥,붉은 팥(수입),kg,40,,,,,,05,
143,00,녹두,국산,kg,40,g,500,,,"04,05","04,05",
143,01,녹두,수입,kg,40,,,,,,05,
144,01,메밀,메밀(수입),kg,1,,,,,,05,
151,00,고구마,밤,kg,10,kg,1,g,800,"04,05","04,05","07,08"
152,00,감자,감자,kg,20,kg,1,,,"04,05","04,05",
152,01,감자,수미(노지),kg,20,g,100,kg,1,"04,05","04,05","07,08"
152,02,감자,대지마,kg,20,g,100,,,"04,05","04,05",
152,03,감자,노지,kg,20,g,100,,,"04,05","04,05",
152,04,감자,수미(시설),kg,20,g,100,,,"04,05","04,05",
152,05,감자,기타(시설),kg,20,g,100,,,"04,05","04,05",
152,06,감자,기타(노지),kg,20,g,100,,,"04,05","04,05",
161,01,귀리,귀리,,,,,kg,1,,,"07,08"
162,01,보리,보리,,,,,g,800,,,"07,08"
163,01,수수,수수,,,,,g,400,,,"07,08"
164,01,율무,율무,,,,,g,400,,,"07,08"
211,01,배추,봄,kg(그물망 3포기),10,포기,1,g,100,"04,05","04,05","07,08"
211,02,배추,여름(고랭지),kg(그물망 3포기),10,포기,1,,,"04,05","04,05",
211,03,배추,가을,kg(그물망 3포기),10,포기,1,,,"04,05","04,05",
211,06,배추,월동,kg(그물망 3포기),10,포기,1,,,"04,05","04,05",
212,00,양배추,양배추,kg,8,포기,1,kg,1,"04,05","04,05","07,08"
213,00,시금치,시금치,kg,4,g,100,g,200,"04,05","04,05","07,08"
214,01,상추,적,kg,4,g,100,g,150,"04,05","04,05","07,08"
214,02,상추,청,kg,4,g,100,g,150,"04,05","04,05","07,08"
215,00,얼갈이배추,얼갈이배추,kg,4,kg,1,,,"04,05","04,05",
216,00,갓,갓,,,kg,1,,,04,,
217,01,연근,연근,,,,,g,100,,,"07,08"
218,01,우엉,우엉,,,,,g,300,,,"07,08"
221,00,수박,수박,개,1,개,1,개,1,"04,05","04,05","07,08"
222,00,참외,참외,kg,10,개,10,kg,1,"04,05","04,05","07,08"
223,01,오이,가시계통,kg,10,개,10,,,"04,05","04,05",
223,02,오이,다다기계통,개,100,개,10,개,10,"04,05","04,05","07,08"
223,03,오이,취청,개,50,개,10,,,"04,05","04,05",
224,01,호박,애호박,개,20,개,1,g,200,"04,05","04,05","07,08"
224,02,호박,쥬키니,kg,10,개,1,,,"04,05","04,05",
224,03,호박,단호박,,,,,kg,1,,,"07,08"
225,00,토마토,토마토,kg,5,kg,1,kg,1,"04,05","04,05","07,08"
226,00,딸기,딸기,kg,2,g,100,g,500,"04,05","04,05","07,08"
231,01,무,봄,kg,20,개,1,g,800,"04,05","04,05","07,08"
231,02,무,고랭지,kg,20,개,1,,,"04,05","04,05",
231,03,무,가을,kg,20,개,1,,,"04,05","04,05",
231,06,무,월동,kg,20,개,1,,,"04,05","04,05",
232,00,당근,당근,kg,20,kg,1,g,500,"04,05","04,05","07,08"
232,01,당근,무세척,kg,20,kg,1,,,"04,05","04,05",
232,02,당근,세척,kg,20,kg,1,,,"04,05","04,05",
232,10,당근,세척(수입),kg,10,,,,,,05,
233,00,열무,열무,kg,4,kg,1,,,"04,05","04,05",
241,00,건고추,화건,kg,30,g,600,,,"04,05","04,05",
241,01,건고추,햇산화건,kg,30,g,600,,,"04,05","04,05",
241,02,건고추,양건(~23.5),kg,30,g,600,,,"04,05","04,05",
241,03,건고추,햇산양건(~23.5),kg,30,g,600,,,"04,05","04,05",
241,10,건고추,수입,kg,1,,,,,,05,
241,90,건고추,국산(화건),,,g,100,,,,,
241,99,건고추,수입(중국),,,g,100,,,,,
242,00,풋고추,풋고추(녹광 등),kg,10,g,100,g,150,"04,05","04,05","07,08"
